,AluYb8a1,AluSg4,AluYi6_4d,AluSg7,AluYb11,AmnSINE2,AluSz,MIRc,AluYb9,AluYk12,AluYe5,AluYm1,LFSINE_Vert,AluSc5,MIR1_Amn,AluYh3a3,AluYa8,FLAM_C,AluYh7,AluSc,CRP1,AluYd8,AluJo,AluYg6,AluYh3,MamSINE1,AluYk11,AluYk2,AluSc8,FAM,AluSp,AluSq2,AluYk4,AmnSINE1,AluJr4,AluSx3,AluYf1,AluY,AluYj4,AluSx1,AluSx4,MIR,AluYi6,AluSq,AluYb10,AluYc3,MIRb,AluSq4,AluYk3,AluSg,AluSz6,AluJb,AluYe6,UCON83,MIR3,AluYa5,AluYc,AluSx,AluYh9,FLAM_A,AluJr,FRAM,AluSq10,Alu,AluYb8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.915024299124598e-05,0.0,3.320953556464513e-05,0.0,0.0,0.0,0.0,4.343143045759355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236260971655392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789888577275828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604767782322565e-05,0.0,0.0,0.0,0.0,3.90882874118342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175828718763259e-05,0.0,0.0,0.0,0.0
2,0.0,0.0011233150274588,0.0,0.0027929960253518,0.0,0.0,0.0011009538592042,0.0,0.0,0.0,0.0013917884481558,0.0049817972791722,0.0,0.004222378606615,0.0,0.0029239766081871,0.0,0.0,0.0,0.0025276971065935,0.0,0.5725806451612904,0.0002409841793886,0.0,0.0039020929407591,0.0,0.0,0.0,0.0024486004981635,0.0,1.799143607642762e-05,0.0,0.0009191176470588,0.0,9.335324869305452e-05,0.00195678067041,0.0056872037914691,0.003492199299814,0.0035425101214574,0.001274318912159,0.0025389302640487,0.0,0.0,0.0,0.0,0.0034129692832764,8.68628609151871e-06,0.0,0.00067521944632,0.0012320535063237,0.0011168805721563,0.0002857498736106,0.0,0.0,1.118130485827696e-05,0.0019521717911176,0.0046138415245737,0.0011894876225957,0.0,0.0,0.0002067037282825,0.0,0.0,0.0004046125834513,0.0022973416475221
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789888577275828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6604767782322565e-05,0.0,0.0,0.0,0.0,3.90882874118342e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175828718763259e-05,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2049208969431156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8359140150870626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.343143045759355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481054230162114e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789888577275828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.326919836170073e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6890394750994945e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.915024299124598e-06,0.0,1.6604767782322565e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481054230162114e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,9.024211960690533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071205909000169e-05,0.0,0.0,0.0,0.0,0.0,8.730498249535102e-06,0.0,0.0,0.0001692620176032,1.1069845188215044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.028789821729401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0011233150274588,0.0,0.0027929960253518,0.0,0.0,0.0011009538592042,0.0,0.0,0.0,0.0013917884481558,0.0049817972791722,0.0,0.004222378606615,0.0,0.0029239766081871,0.0,0.0,0.0,0.0025276971065935,0.0,0.5725806451612904,0.0002409841793886,0.0,0.0039020929407591,0.0,0.0,0.0,0.0024486004981635,0.0,1.799143607642762e-05,0.0,0.0009191176470588,0.0,9.335324869305452e-05,0.00195678067041,0.0056872037914691,0.003492199299814,0.0035425101214574,0.001274318912159,0.0025389302640487,0.0,0.0,0.0,0.0,0.0034129692832764,8.68628609151871e-06,0.0,0.00067521944632,0.0012320535063237,0.0011168805721563,0.0002857498736106,0.0,0.0,1.118130485827696e-05,0.0019521717911176,0.0046138415245737,0.0011894876225957,0.0,0.0,0.0002067037282825,0.0,0.0,0.0004046125834513,0.0022973416475221
9,0.0,0.0,0.0,0.0,0.0,0.0,9.024211960690533e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8359140150870626e-05,0.0,1.7460996499070203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
